AustraliaIndia,India chose to field,2023-09-22
Australia(0.5/50 ov) 5/1India,India chose to field.,2023-09-22
Australia(8/50 ov) 31/1India,India chose to field.,2023-09-22
Australia(8/50 ov) 31/1India,India chose to field.,2023-09-22
Australia(8.6/50 ov) 40/1India,India chose to field.,2023-09-22
Australia(11/50 ov) 44/1India,India chose to field.,2023-09-22
