Bangladesh vs New Zealand,New Zealand(26.4/50 ov) 131/4Bangladesh,New Zealand chose to bat.,2023-09-23
Bangladesh vs New Zealand,New Zealand(26.4/50 ov) 131/4Bangladesh,New Zealand chose to bat.,2023-09-23
